Date,Open,High,Low,Close,Adj Close,Volume
2011-11-18,40244.0,41400.0,40032.0,40052.0,40052.0,509
2011-11-21,42156.0,42268.0,40352.0,40552.0,40552.0,530
2011-11-22,40808.0,41116.0,39576.0,39644.0,39644.0,702
2011-11-23,40596.0,41512.0,40344.0,41484.0,41484.0,478
2011-11-25,41652.0,42152.0,40776.0,42024.0,42024.0,286
2011-11-28,39120.0,40404.0,38832.0,39984.0,39984.0,395
2011-11-29,39540.0,40060.0,38800.0,39160.0,39160.0,265
2011-11-30,36588.0,36816.0,35556.0,35684.0,35684.0,408
2011-12-01,35860.0,35924.0,34620.0,34832.0,34832.0,306
2011-12-02,33904.0,34848.0,33304.0,34832.0,34832.0,302
2011-12-05,33312.0,35092.0,33296.0,34724.0,34724.0,301
2011-12-06,34740.0,34944.0,34160.0,34604.0,34604.0,126
2011-12-07,35064.0,36448.0,35040.0,35588.0,35588.0,286
2011-12-08,36724.0,37564.0,36352.0,37248.0,37248.0,291
2011-12-09,36784.0,36840.0,34648.0,34656.0,34656.0,978
2011-12-12,35432.0,36136.0,34828.0,34828.0,34828.0,399
2011-12-13,34120.0,35348.0,33384.0,34648.0,34648.0,540
2011-12-14,34688.0,35520.0,34188.0,34780.0,34780.0,430
2011-12-15,33516.0,33888.0,33000.0,33392.0,33392.0,221
2011-12-16,32312.0,33664.0,32280.0,33248.0,33248.0,481
2011-12-19,32840.0,33160.0,32212.0,32928.0,32928.0,320
2011-12-20,31424.0,31432.0,30800.0,30892.0,30892.0,445
2011-12-21,30520.0,31000.0,28776.0,28796.0,28796.0,442
2011-12-22,28128.0,29180.0,27600.0,28888.0,28888.0,328
2011-12-23,28700.0,29812.0,28432.0,29588.0,29588.0,206
2011-12-27,29436.0,29516.0,29016.0,29328.0,29328.0,156
2011-12-28,29184.0,30668.0,29184.0,30588.0,30588.0,232
2011-12-29,30332.0,30332.0,29748.0,29840.0,29840.0,136
2011-12-30,29780.0,30320.0,29672.0,30296.0,30296.0,124
2012-01-03,28868.0,29056.0,28468.0,28696.0,28696.0,154
2012-01-04,29028.0,29388.0,28132.0,28132.0,28132.0,149
2012-01-05,28552.0,28820.0,27472.0,27504.0,27504.0,173
2012-01-06,27336.0,27832.0,26800.0,27088.0,27088.0,233
2012-01-09,26832.0,27032.0,26504.0,26672.0,26672.0,105
2012-01-10,25856.0,26260.0,25592.0,26136.0,26136.0,285
2012-01-11,26376.0,26624.0,26272.0,26568.0,26568.0,196
2012-01-12,26400.0,27368.0,26140.0,26176.0,26176.0,233
2012-01-13,26752.0,27672.0,26752.0,26868.0,26868.0,394
2012-01-17,25992.0,26812.0,25572.0,26648.0,26648.0,386
2012-01-18,26520.0,26792.0,25608.0,25680.0,25680.0,348
2012-01-19,25344.0,25572.0,24928.0,24988.0,24988.0,321
2012-01-20,25048.0,25208.0,24156.0,24220.0,24220.0,230
2012-01-23,24192.0,24332.0,23440.0,23608.0,23608.0,457
2012-01-24,24208.0,24280.0,23448.0,23720.0,23720.0,236
2012-01-25,23720.0,24008.0,22596.0,22688.0,22688.0,512
2012-01-26,22216.0,23012.0,22140.0,22704.0,22704.0,236
2012-01-27,23056.0,23064.0,22112.0,22220.0,22220.0,249
2012-01-30,23024.0,23176.0,22568.0,22872.0,22872.0,303
2012-01-31,22444.0,23108.0,22272.0,22880.0,22880.0,252
2012-02-01,22360.0,22548.0,21948.0,22272.0,22272.0,242
2012-02-02,21896.0,21992.0,21568.0,21568.0,21568.0,311
2012-02-03,20708.0,20912.0,20420.0,20420.0,20420.0,704
2012-02-06,20616.0,20636.0,20192.0,20192.0,20192.0,289
2012-02-07,20280.0,20640.0,20196.0,20372.0,20372.0,329
2012-02-08,20336.0,20920.0,20264.0,20840.0,20840.0,213
2012-02-09,20940.0,21880.0,20800.0,21860.0,21860.0,375
2012-02-10,23036.0,25088.0,22796.0,23732.0,23732.0,961
2012-02-13,22424.0,22736.0,21896.0,21896.0,21896.0,482
2012-02-14,22248.0,23948.0,22216.0,22576.0,22576.0,580
2012-02-15,22756.0,24008.0,22748.0,23868.0,23868.0,1592
2012-02-16,24396.0,24804.0,22840.0,22972.0,22972.0,1633
2012-02-17,22552.0,23200.0,22332.0,22608.0,22608.0,735
2012-02-21,22288.0,22936.0,22280.0,22592.0,22592.0,749
2012-02-22,22744.0,22808.0,21904.0,21972.0,21972.0,1094
2012-02-23,22000.0,22188.0,20400.0,20568.0,20568.0,1023
2012-02-24,20272.0,21432.0,20120.0,21292.0,21292.0,1132
2012-02-27,22080.0,22160.0,20828.0,21528.0,21528.0,678
2012-02-28,21740.0,21804.0,21176.0,21268.0,21268.0,602
2012-02-29,20908.0,21400.0,20488.0,20984.0,20984.0,654
2012-03-01,20776.0,20860.0,20368.0,20524.0,20524.0,505
2012-03-02,20508.0,20820.0,20356.0,20668.0,20668.0,365
2012-03-05,20792.0,20992.0,20472.0,20600.0,20600.0,576
2012-03-06,21888.0,22364.0,21480.0,22180.0,22180.0,1464
2012-03-07,21856.0,22008.0,21028.0,21096.0,21096.0,752
2012-03-08,20536.0,20648.0,20120.0,20272.0,20272.0,865
2012-03-09,19956.0,19996.0,19444.0,19832.0,19832.0,1050
2012-03-12,19600.0,19624.0,18872.0,18924.0,18924.0,946
2012-03-13,18376.0,18540.0,17936.0,18088.0,18088.0,1408
2012-03-14,17952.0,19132.0,17900.0,18648.0,18648.0,1053
2012-03-15,18856.0,19012.0,18352.0,18352.0,18352.0,977
2012-03-16,18268.0,18560.0,18192.0,18316.0,18316.0,763
2012-03-19,18232.0,18288.0,17100.0,17252.0,17252.0,1945
2012-03-20,17636.0,17780.0,16416.0,16436.0,16436.0,1190
2012-03-21,16100.0,16308.0,15428.0,15628.0,15628.0,1443
2012-03-22,16320.0,16600.0,15640.0,15792.0,15792.0,938
2012-03-23,15720.0,15968.0,14640.0,14696.0,14696.0,1097
2012-03-26,14156.0,14160.0,13260.0,13368.0,13368.0,1611
2012-03-27,13572.0,14680.0,13484.0,14640.0,14640.0,889
2012-03-28,14656.0,16036.0,14420.0,14764.0,14764.0,1414
2012-03-29,15672.0,15672.0,14544.0,14708.0,14708.0,1201
2012-03-30,14088.0,14684.0,14060.0,14308.0,14308.0,770
2012-04-02,14364.0,14440.0,13792.0,14304.0,14304.0,613
